iter	RMSE
0	9.193487382
1	8.970561399
2	8.760516453
3	8.564069757
4	8.38301194
5	8.212776789
6	8.0533887
7	7.903837276
8	7.766222115
9	7.637089099
10	7.518460632
11	7.406827305
12	7.303973432
13	7.208903112
14	7.120068096
15	7.038054401
16	6.962452065
17	6.886127166
18	6.821022606
19	6.760790585
20	6.698028409
21	6.645944539
22	6.597294676
23	6.553009591
24	6.511204477
25	6.473975873
26	6.438042176
27	6.405047318
28	6.36613961
29	6.337187298
30	6.310943083
31	6.286440188
32	6.258033444
33	6.23076099
34	6.211189271
35	6.192835202
36	6.168107116
37	6.147573204
38	6.131196544
39	6.116154274
40	6.102139248
41	6.086884766
42	6.074787119
43	6.063094375
44	6.052392223
45	6.042642731
46	6.031571453
47	6.021251485
48	6.012135006
49	5.991295823
50	5.979189368
51	5.962927316
52	5.95369698
53	5.94682571
54	5.939545218
55	5.927590231
56	5.913160078
57	5.898373486
58	5.892345741
59	5.887302746
60	5.87758596
61	5.870779315
62	5.864794418
63	5.855254004
64	5.849824128
65	5.844691365
66	5.839058302
67	5.833820191
68	5.820532734
69	5.807363839
70	5.802842563
71	5.796973552
72	5.791292015
73	5.787725691
74	5.776274281
75	5.76331249
76	5.753735234
77	5.739859119
78	5.735337941
79	5.726350512
80	5.715027192
81	5.711035351
82	5.701498991
83	5.689078663
84	5.684932698
85	5.677690204
86	5.674907788
87	5.662205496
88	5.650078672
89	5.642258802
90	5.63886194
91	5.635516757
92	5.626050694
93	5.623072703
94	5.611405427
95	5.608164613
96	5.600171428
97	5.596584855
98	5.593380252
99	5.586993564
100	5.57715579
101	5.568249217
102	5.560045745
103	5.554892252
104	5.547946987
105	5.541900353
106	5.533407683
107	5.526047572
108	5.517188529
109	5.514132811
110	5.511533037
111	5.508081551
112	5.501640846
113	5.494588097
114	5.48666514
115	5.478830093
116	5.470937751
117	5.466085
118	5.463612784
119	5.456751697
120	5.450343106
121	5.447705497
122	5.444191355
123	5.437487903
124	5.430880265
125	5.426879774
126	5.421673155
127	5.418682211
128	5.41263281
129	5.406631816
130	5.401687056
131	5.3987309
132	5.395105792
133	5.392034276
134	5.389965057
135	5.383215691
136	5.376707523
137	5.374366816
138	5.368533922
139	5.366845571
140	5.361276028
141	5.358856494
142	5.353239354
143	5.346566653
144	5.343026748
145	5.33584066
146	5.330554913
147	5.326867169
148	5.322645592
149	5.315759125
150	5.3107511
151	5.305940186
152	5.303851158
153	5.301719389
154	5.295584258
155	5.293154421
156	5.288720933
157	5.286365814
158	5.28315542
159	5.278784172
160	5.277597886
161	5.274430794
162	5.270408903
163	5.267839193
164	5.263761261
165	5.259210542
166	5.255056377
167	5.252485971
168	5.250198689
169	5.247880568
170	5.243721979
171	5.238283485
172	5.235715101
173	5.233566408
174	5.229140301
175	5.225040159
176	5.220600253
177	5.216420201
178	5.213407344
179	5.209558229
180	5.207372391
181	5.203397275
182	5.19951321
183	5.19488927
184	5.191821401
185	5.188345528
186	5.185576096
187	5.181508265
188	5.177603171
189	5.175202096
190	5.172663231
191	5.168735872
192	5.166753319
193	5.163574856
194	5.160134876
195	5.156712559
196	5.153067706
197	5.149499347
198	5.147051547
199	5.144514156
200	5.142514434
201	5.139406014
202	5.135651587
203	5.132770616
204	5.131115149
205	5.12791576
206	5.125430007
207	5.121754447
208	5.119617649
209	5.117733521
210	5.115504948
211	5.112523061
212	5.110596042
213	5.107744449
214	5.105586888
215	5.103244873
216	5.099722667
217	5.096825192
218	5.092890016
