iter	Passed	Remaining
0	42	135829
1	64	103150
2	86	92711
3	109	87171
4	132	85037
5	163	87096
6	188	86036
7	209	83832
8	240	85246
9	261	83621
10	293	85043
11	330	87920
12	360	88464
13	387	88180
14	423	89967
15	456	90866
16	479	89782
17	503	89129
18	523	87635
19	539	85908
20	560	84849
21	579	83831
22	603	83346
23	621	82325
24	644	81925
25	672	82112
26	691	81311
27	710	80569
28	728	79750
29	747	79042
30	765	78279
31	785	77824
32	810	77854
33	830	77355
34	853	77209
35	896	78836
36	915	78335
37	945	78737
38	964	78198
39	980	77512
40	998	77006
41	1018	76651
42	1041	76490
43	1058	75999
44	1076	75523
45	1094	75062
46	1110	74572
47	1128	74141
48	1146	73775
49	1164	73397
50	1183	73132
51	1208	73184
52	1231	73181
53	1256	73241
54	1276	73030
55	1295	72793
56	1314	72534
57	1333	72261
58	1356	72286
59	1382	72380
60	1406	72443
61	1428	72340
62	1447	72100
63	1469	72035
64	1486	71717
65	1502	71386
66	1519	71122
67	1537	70851
68	1554	70584
69	1573	70390
70	1589	70115
71	1606	69853
72	1625	69682
73	1642	69409
74	1658	69128
75	1676	68974
76	1693	68732
77	1710	68502
78	1728	68348
79	1745	68105
80	1762	67895
81	1779	67690
82	1801	67704
83	1822	67648
84	1841	67517
85	1859	67391
86	1878	67271
87	1898	67183
88	1911	66852
89	1931	66777
90	1944	66478
91	1960	66268
92	1982	66288
93	1997	66061
94	2017	65998
95	2038	65968
96	2057	65870
97	2079	65875
98	2097	65750
99	2116	65663
100	2132	65461
101	2149	65325
102	2167	65218
103	2183	65033
104	2200	64898
105	2216	64735
106	2232	64562
107	2248	64404
108	2265	64296
109	2282	64151
110	2298	64002
111	2315	63887
112	2333	63799
113	2349	63643
114	2365	63487
115	2382	63370
116	2397	63216
117	2414	63104
118	2430	62963
119	2447	62862
120	2462	62712
121	2481	62637
122	2497	62513
123	2513	62383
124	2529	62268
125	2545	62152
126	2561	62030
127	2578	61920
128	2594	61798
129	2612	61746
130	2628	61630
131	2645	61518
132	2661	61418
133	2680	61361
134	2697	61279
135	2716	61239
136	2733	61158
137	2755	61174
138	2771	61081
139	2785	60912
140	2806	60922
141	2827	60926
142	2844	60848
143	2863	60815
144	2880	60736
145	2904	60791
146	2920	60691
147	2937	60607
148	2954	60544
149	2971	60465
150	2988	60389
151	3006	60328
152	3028	60361
153	3046	60303
154	3070	60360
155	3089	60317
156	3108	60288
157	3126	60227
158	3143	60161
159	3161	60115
160	3178	60028
161	3195	59957
162	3214	59935
163	3234	59915
164	3250	59836
165	3267	59765
166	3284	59699
167	3300	59611
168	3318	59548
169	3333	59454
170	3349	59375
171	3366	59313
172	3379	59174
173	3396	59105
174	3412	59022
175	3428	58944
176	3450	58963
177	3466	58891
178	3483	58824
179	3498	58738
180	3515	58672
181	3531	58595
182	3545	58483
183	3561	58413
184	3577	58336
185	3593	58276
186	3610	58205
187	3626	58144
188	3643	58078
189	3659	58012
190	3676	57950
191	3691	57877
192	3712	57883
193	3726	57779
194	3745	57758
195	3762	57706
196	3774	57582
197	3791	57530
198	3808	57478
199	3832	57519
200	3848	57452
201	3867	57442
202	3884	57388
203	3902	57354
204	3918	57285
205	3934	57222
206	3949	57144
207	3965	57086
208	3981	57024
209	3998	56968
210	4014	56900
211	4029	56837
212	4046	56778
213	4064	56747
214	4082	56711
215	4098	56663
216	4114	56601
217	4130	56537
218	4149	56517
219	4165	56459
